278,14.872,69.967
279,213.112,244.447
280,86.228,243.200
281,134.172,154.532
282,90.104,99.178
283,10.556,70.736
284,240.000,252.642
285,177.611,198.515
286,124.000,249.069
287,57.722,79.516
288,0.000,12.962
289,188.849,219.444
290,62.021,160.571
291,52.414,63.828
292,217.739,266.034
293,167.000,198.267
294,71.520,96.971
295,15.000,22.817
296,189.515,215.753
297,92.137,122.130
298,21.653,33.689
299,192.519,209.449
300,112.000,200.086
301,16.679,46.925
302,149.212,201.474
303,92.057,111.623
304,-20.984,6.564
305,159.000,181.756
306,-13.143,148.276
307,199.941,217.306
308,104.335,115.710
309,-8.802,14.314
310,156.000,174.124
311,22.619,51.785
312,160.780,197.953
313,59.639,84.863
314,212.123,228.127
315,103.000,113.779
316,235.345,268.444
317,101.140,131.929
318,252.000,257.657
319,63.529,183.889
320,0.000,34.420
321,117.519,143.340
322,237.371,269.655
323,119.000,134.398
324,226.526,278.788
325,101.586,106.413
326,220.000,296.561
327,68.551,113.133
328,186.311,213.533
329,35.870,69.994
330,143.092,159.908
331,7.000,23.787
332,84.119,152.421
333,210.124,237.261
334,60.000,97.926
335,122.429,238.012
336,-28.444,7.604
337,95.000,104.062
338,183.937,225.547
339,19.062,35.590
340,112.000,121.225
341,101.897,227.444
342,25.884,64.571
343,111.000,125.841
344,178.204,198.678
345,9.776,40.405
346,92.000,121.257
347,144.877,177.240
348,218.843,258.963
349,55.000,72.965
350,115.742,145.943
351,160.882,235.738
352,0.000,18.618
353,16.836,69.244
354,118.495,138.629
355,147.112,192.481
356,240.000,282.227
357,31.986,48.309
358,89.247,99.314
359,143.000,174.508
360,174.257,199.456
361,26.845,751.000
362,28.000,752.155
363,56.287,87.862
364,100.093,118.024
365,146.509,166.858
366,188.000,200.047
367,200.631,238.059
368,-7.072,17.067
369,31.000,51.078
370,53.436,62.876
371,67.557,95.678
372,107.170,177.829
373,135.000,208.802
374,132.727,173.534
375,156.037,196.157
376,181.760,214.123
377,207.000,218.011
378,194.595,225.224
379,218.512,236.885
380,231.172,264.652
381,247.000,275.055
382,227.080,271.692
383,238.484,270.515
384,0.000,98.108
385,255.000,323.267
386,244.396,280.444
387,235.622,253.169
388,238.075,246.796
389,231.000,266.617
390,193.181,226.919
391,203.092,219.908
392,169.006,203.130
393,175.000,186.506
394,147.742,158.639
395,128.679,145.894
396,73.212,125.474
397,87.000,121.712
398,56.179,73.964
399,27.207,35.231
400,-1.766,9.974
401,207.198,230.314
402,188.000,202.124
403,120.280,186.646
404,103.873,119.877
405,65.137,90.361
406,28.000,61.032
407,239.000,264.924
408,184.686,207.802
409,138.697,199.889
410,89.735,109.067
411,39.000,51.337
412,240.000,260.277
413,169.526,221.788
414,100.075,130.321
415,41.057,71.258
416,0.000,9.942
417,191.000,206.634
418,38.667,300.287
419,50.029,75.480
420,213.966,262.261
421,158.172,169.586
422,92.000,115.011
423,12.774,19.599
424,187.937,203.463
425,95.485,116.389
426,8.308,66.253
427,191.822,200.896
428,112.000,119.699
429,17.553,48.888
430,142.824,201.679
431,87.358,103.393
432,-13.017,54.303
433,150.916,182.273
434,60.000,127.702
435,215.000,223.605
436,106.226,118.244
437,-10.655,21.629
438,130.141,191.721
439,31.941,95.661
440,158.609,199.314
441,79.000,100.113
442,220.000,235.754
443,-3.077,359.000
444,225.287,243.012
445,107.093,143.381
446,245.351,313.440
447,108.899,131.339
448,0.000,36.901
449,127.000,135.904
450,252.000,263.315
451,105.526,146.106
452,225.934,247.758
453,98.469,137.133
454,201.037,225.069
455,68.760,83.243
456,178.321,237.176
457,47.000,77.797
458,156.000,173.356
459,5.104,14.178
460,73.747,131.692
461,202.410,233.551
462,54.722,76.516
463,112.455,200.719
464,-61.979,36.571
465,43.800,107.427
466,147.579,191.241
467,23.000,30.817
468,112.000,145.574
469,199.000,239.960
470,19.742,49.943
471,107.587,135.774
472,189.057,208.623
473,-2.655,20.172
474,18.857,180.276
475,110.111,171.303
476,235.548,249.198
477,46.560,59.655
478,92.780,129.953
479,181.376,205.810
480,0.000,10.779
481,63.000,81.450
482,124.000,129.657
483,183.000,217.420
484,240.000,293.895
485,32.436,59.984
486,78.526,130.788
487,140.305,177.595
488,168.727,271.448
489,227.870,261.994
490,15.092,31.908
491,62.514,91.480
492,107.124,134.261
493,144.831,162.378
494,171.832,234.545
495,206.484,248.347
496,-3.938,12.590
497,11.308,55.920
498,57.884,96.571
499,35.800,108.215
500,106.776,137.405
501,128.546,136.954
502,153.562,185.165
503,157.466,198.273
504,184.242,218.483
505,159.425,220.474
506,217.124,226.564
507,195.112,240.481
508,224.941,262.369
509,244.247,254.314
510,248.493,272.757
511,238.138,269.713
512,0.000,724.155
